      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          1.879          5.187          7.203          4.426
          1.907          5.238          7.236          4.549
          1.937          5.292          7.272          4.681
          1.968          5.347          7.310          4.819
          2.000          5.402          7.351          4.960
          2.033          5.459          7.395          5.106
          2.066          5.515          7.440          5.252
          2.101          5.573          7.489          5.404
          2.138          5.634          7.543          5.563
          2.175          5.694          7.598          5.717
          2.214          5.755          7.658          5.872
          2.254          5.817          7.722          6.022
          2.296          5.879          7.790          6.165
          2.339          5.939          7.862          6.293
          2.384          5.997          7.938          6.403
          2.431          6.051          8.017          6.488
          2.480          6.096          8.098          6.537
          2.530          6.127          8.176          6.544
          2.583          6.138          8.249          6.501
          2.638          6.116          8.305          6.401
          2.695          6.048          8.331          6.242
          2.755          5.916          8.301          6.023
          2.818          5.706          8.179          5.750
          2.883          5.420          7.928          5.442
          2.952          5.072          7.512          5.110
          3.024          4.711          6.956          4.783
          3.100          4.386          6.354          4.481
          3.179          4.134          5.844          4.228
          3.263          3.953          5.487          4.027
          3.351          3.824          5.274          3.875
          3.444          3.713          5.135          3.753
          3.542          3.590          4.992          3.629
          3.647          3.427          4.779          3.469
          3.757          3.207          4.451          3.250
          3.874          2.916          3.979          2.956
          3.999          2.551          3.368          2.587
          4.133          2.121          2.667          2.156
          4.201          1.899          2.324          1.933
          4.301          1.580          1.865          1.610
          4.400          1.285          1.486          1.302
          4.501          1.015          1.186          1.009
          4.601          0.787          0.975          0.741
          4.701          0.600          0.839          0.499
          4.801          0.455          0.763          0.281
          4.901          0.350          0.728          0.086
          5.000          0.280          0.718         -0.088
          5.101          0.240          0.714         -0.250
          5.202          0.227          0.700         -0.402
          5.302          0.235          0.669         -0.547
          5.401          0.260          0.628         -0.689
          5.502          0.299          0.592         -0.835
          5.601          0.348          0.579         -0.982
          5.701          0.405          0.591         -1.136
          5.800          0.467          0.622         -1.294
          5.902          0.536          0.663         -1.464
          6.002          0.606          0.707         -1.634
          6.200          0.750          0.786         -1.976
          6.359          0.868          0.832         -2.243
          6.527          0.992          0.862         -2.505
          6.703          1.122          0.872         -2.743
          6.889          1.256          0.861         -2.943
          7.086          1.396          0.826         -3.086
          7.294          1.542          0.768         -3.158
          7.516          1.695          0.686         -3.149
          7.750          1.855          0.585         -3.057
          8.000          2.026          0.467         -2.888
          8.267          2.211          0.338         -2.656
          8.552          2.413          0.206         -2.382
          8.858          2.638          0.079         -2.089
          8.921          2.686          0.056         -2.032
          8.986          2.736          0.033         -1.973
          9.052          2.788          0.010         -1.915
          9.118          2.840         -0.011         -1.859
          9.186          2.894         -0.032         -1.802
          9.254          2.950         -0.052         -1.747
          9.324          3.008         -0.071         -1.693
          9.394          3.067         -0.089         -1.640
          9.466          3.128         -0.106         -1.588
          9.539          3.192         -0.121         -1.537
          9.613          3.258         -0.136         -1.487
          9.688          3.327         -0.149         -1.439
          9.764          3.397         -0.161         -1.393
          9.842          3.472         -0.172         -1.347
          9.920          3.548         -0.182         -1.303
         10.000          3.628         -0.191         -1.261
         10.080          3.710         -0.198         -1.220
         10.160          3.794         -0.204         -1.181
         10.250          3.891         -0.209         -1.139
         10.330          3.980         -0.213         -1.104
         10.420          4.083         -0.216         -1.067
         10.510          4.189         -0.218         -1.031
         10.600          4.298         -0.218         -0.997
         10.690          4.410         -0.218         -0.964
         10.780          4.525         -0.217         -0.933
         10.880          4.657         -0.215         -0.901
