      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          3.730         -3.451         -4.822         -3.508
          3.740         -3.427         -4.791         -3.484
          3.750         -3.404         -4.760         -3.460
          3.760         -3.380         -4.729         -3.436
          3.770         -3.357         -4.699         -3.413
          3.780         -3.334         -4.669         -3.389
          3.790         -3.311         -4.639         -3.366
          3.800         -3.288         -4.609         -3.343
          3.810         -3.266         -4.580         -3.320
          3.820         -3.244         -4.551         -3.298
          3.830         -3.222         -4.522         -3.275
          3.840         -3.200         -4.493         -3.253
          3.850         -3.178         -4.465         -3.231
          3.860         -3.156         -4.436         -3.209
          3.870         -3.135         -4.408         -3.188
          3.880         -3.113         -4.380         -3.166
          3.890         -3.092         -4.353         -3.145
          3.900         -3.071         -4.325         -3.123
          3.910         -3.051         -4.298         -3.102
          3.920         -3.030         -4.271         -3.081
          3.930         -3.009         -4.244         -3.061
          3.940         -2.989         -4.218         -3.040
          3.950         -2.969         -4.191         -3.020
          3.960         -2.949         -4.165         -2.999
          3.970         -2.929         -4.139         -2.979
          3.980         -2.909         -4.114         -2.959
          3.990         -2.890         -4.088         -2.939
          4.000         -2.870         -4.063         -2.920
          4.010         -2.851         -4.037         -2.900
          4.020         -2.832         -4.012         -2.881
          4.030         -2.813         -3.987         -2.862
          4.040         -2.794         -3.963         -2.843
          4.050         -2.775         -3.938         -2.824
          4.060         -2.757         -3.914         -2.805
          4.070         -2.738         -3.890         -2.786
          4.080         -2.720         -3.866         -2.768
          4.090         -2.702         -3.842         -2.749
          4.100         -2.684         -3.819         -2.731
          4.110         -2.666         -3.795         -2.713
          4.120         -2.648         -3.772         -2.695
          4.130         -2.631         -3.749         -2.677
          4.140         -2.613         -3.726         -2.659
          4.150         -2.596         -3.703         -2.642
          4.160         -2.578         -3.681         -2.624
          4.170         -2.561         -3.658         -2.607
          4.180         -2.544         -3.636         -2.590
          4.190         -2.527         -3.614         -2.572
          4.200         -2.511         -3.592         -2.555
          4.210         -2.494         -3.570         -2.539
          4.220         -2.477         -3.548         -2.522
          4.230         -2.461         -3.527         -2.505
          4.240         -2.445         -3.506         -2.489
          4.250         -2.428         -3.484         -2.472
          4.260         -2.412         -3.463         -2.456
          4.270         -2.396         -3.443         -2.440
          4.280         -2.381         -3.422         -2.424
