      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          4.400          4.764          6.454          6.422
          4.501          4.571          6.126          6.354
          4.601          4.349          5.793          6.265
          4.701          4.108          5.474          6.161
          4.801          3.857          5.187          6.049
          4.901          3.605          4.939          5.935
          5.000          3.361          4.737          5.825
          5.101          3.122          4.573          5.718
          5.202          2.897          4.440          5.620
          5.302          2.689          4.321          5.530
          5.401          2.500          4.196          5.449
          5.502          2.323          4.054          5.371
          5.601          2.164          3.909          5.297
          5.701          2.019          3.771          5.221
          5.800          1.889          3.653          5.143
          5.902          1.768          3.553          5.055
          6.002          1.662          3.477          4.958
          6.200          1.481          3.378          4.730
          6.359          1.362          3.334          4.504
          6.527          1.256          3.310          4.225
          6.703          1.165          3.302          3.892
          6.889          1.087          3.303          3.505
          7.086          1.022          3.309          3.072
          7.294          0.969          3.313          2.610
          7.516          0.930          3.310          2.134
          7.750          0.904          3.293          1.675
          8.000          0.891          3.257          1.251
          8.267          0.895          3.197          0.883
          8.552          0.918          3.109          0.586
          8.858          0.964          2.993          0.363
          8.921          0.977          2.967          0.327
          8.986          0.991          2.940          0.294
          9.052          1.006          2.911          0.263
          9.118          1.023          2.882          0.236
          9.186          1.041          2.852          0.210
          9.254          1.061          2.822          0.187
          9.324          1.084          2.790          0.166
          9.394          1.107          2.758          0.147
          9.466          1.133          2.725          0.130
          9.539          1.162          2.692          0.115
          9.613          1.193          2.658          0.102
          9.688          1.227          2.624          0.090
          9.764          1.264          2.590          0.079
          9.842          1.304          2.555          0.070
          9.920          1.348          2.521          0.062
         10.000          1.396          2.486          0.055
         10.080          1.447          2.452          0.049
         10.160          1.503          2.419          0.044
         10.250          1.571          2.382          0.039
         10.330          1.636          2.351          0.035
         10.420          1.715          2.316          0.032
         10.510          1.802          2.283          0.029
         10.600          1.896          2.251          0.026
         10.690          1.998          2.220          0.024
         10.780          2.110          2.190          0.022
         10.880          2.247          2.159          0.020
         10.970          2.382          2.132          0.019
         11.070          2.547          2.103          0.018
         11.170          2.730          2.077          0.017
         11.270          2.934          2.051          0.016
         11.380          3.183          2.025          0.015
         11.480          3.437          2.002          0.014
         11.590          3.750          1.979          0.013
         11.700          4.102          1.958          0.013
         11.810          4.499          1.937          0.012
         11.920          4.944          1.918          0.012
         12.040          5.492          1.898          0.011
         12.160          6.109          1.880          0.011
         12.280          6.797          1.862          0.010
         12.400          7.553          1.845          0.010
         12.530          8.436          1.827          0.009
         12.650          9.286          1.811          0.009
         12.780         10.196          1.793          0.009
         12.920         11.086          1.774          0.008
         13.050         11.733          1.756          0.008
         13.190         12.140          1.736          0.008
         13.330         12.176          1.716          0.008
         13.480         11.797          1.693          0.007
         13.630         11.062          1.670          0.007
         13.780         10.098          1.646          0.007
         13.930          9.037          1.622          0.007
         14.090          7.914          1.597          0.006
         14.250          6.875          1.571          0.006
         14.420          5.901          1.545          0.006
         14.590          5.069          1.520          0.006
         14.760          4.368          1.497          0.006
         14.940          3.751          1.474          0.005
         15.120          3.241          1.453          0.005
         15.310          2.798          1.434          0.005
         15.500          2.433          1.419          0.005
         15.700          2.116          1.406          0.005
         15.900          1.854          1.397          0.005
         16.100          1.635          1.392          0.005
         16.320          1.435          1.391          0.005
         16.530          1.275          1.394          0.005
         16.760          1.128          1.402          0.005
         16.990          1.004          1.415          0.005
         17.220          0.899          1.432          0.004
         17.470          0.802          1.456          0.004
         17.720          0.720          1.483          0.004
         17.970          0.649          1.515          0.005
         18.240          0.584          1.553          0.005
         18.510          0.528          1.594          0.005
         18.790          0.477          1.638          0.005
         19.080          0.432          1.683          0.005
         19.380          0.392          1.728          0.005
         19.680          0.357          1.769          0.005
         20.000          0.325          1.805          0.006
         20.330          0.295          1.831          0.006
         20.670          0.269          1.843          0.007
         21.020          0.246          1.839          0.009
         21.380          0.224          1.815          0.011
         21.760          0.205          1.769          0.015
         22.140          0.187          1.705          0.022
         22.550          0.171          1.620          0.035
         22.960          0.157          1.522          0.057
         23.400          0.143          1.411          0.096
         23.850          0.131          1.295          0.160
         24.310          0.120          1.180          0.260
         24.800          0.110          1.065          0.412
         25.310          0.100          0.954          0.623
         25.830          0.092          0.854          0.882
         26.010          0.089          0.821          0.978
         26.380          0.084          0.759          1.172
         27.000          0.076          0.667          1.451
         28.000          0.066          0.546          1.611
         29.010          0.057          0.451          1.326
         29.500          0.053          0.413          1.082
         30.000          0.050          0.378          0.819
         30.510          0.047          0.347          0.572
         31.010          0.044          0.320          0.376
         32.010          0.039          0.274          0.134
         33.010          0.035          0.236          0.041
         34.010          0.031          0.206          0.013
         35.010          0.028          0.181          0.006
         36.010          0.025          0.159          0.004
         37.010          0.023          0.142          0.003
         38.000          0.021          0.127          0.002
         39.010          0.019          0.114          0.002
         40.010          0.018          0.103          0.002
         41.010          0.016          0.093          0.001
         42.010          0.015          0.085          0.001
         43.010          0.014          0.077          0.001
         44.000          0.013          0.071          0.001
         45.010          0.012          0.065          0.001
         46.010          0.011          0.060          0.001
         47.010          0.010          0.055          0.001
         48.010          0.010          0.051          0.001
         49.010          0.009          0.047          0.001
         50.000          0.008          0.044          0.000
         52.020          0.007          0.038          0.000
         54.010          0.007          0.034          0.000
         56.010          0.006          0.030          0.000
         58.000          0.005          0.026          0.000
         60.020          0.005          0.023          0.000
         62.000          0.004          0.021          0.000
         64.020          0.004          0.019          0.000
         66.030          0.003          0.017          0.000
         68.020          0.003          0.015          0.000
         70.020          0.003          0.014          0.000
         72.010          0.003          0.013          0.000
         74.030          0.002          0.012          0.000
         76.030          0.002          0.011          0.000
         78.040          0.002          0.010          0.000
         80.000          0.002          0.009          0.000
         82.010          0.002          0.008          0.000
         83.000          0.002          0.008          0.000
         83.510          0.002          0.008          0.000
         84.010          0.002          0.008          0.000
         84.530          0.002          0.008          0.000
         84.990          0.002          0.007          0.000
         86.000          0.002          0.007          0.000
         87.020          0.001          0.007          0.000
         87.510          0.001          0.007          0.000
         88.010          0.001          0.007          0.000
        100.000          0.001          0.004          0.000
        105.000          0.001          0.004          0.000
        110.000          0.001          0.003          0.000
        120.000          0.001          0.003          0.000
        150.000          0.000          0.001          0.000
        180.000          0.000          0.001          0.000
        200.000          0.000          0.001          0.000
        220.000          0.000          0.000          0.000
        260.000          0.000          0.000          0.000
        300.000          0.000          0.000          0.000
        395.400          0.000          0.000          0.000
        452.200          0.000          0.000          0.000
        500.400          0.000          0.000          0.000
        525.000          0.000          0.000          0.000
        573.000          0.000          0.000          0.000
        637.600          0.000          0.000          0.000
        705.000          0.000          0.000          0.000
        776.500          0.000          0.000          0.000
        851.700          0.000          0.000          0.000
        929.600          0.000          0.000          0.000
       1012.000          0.000          0.000          0.000
       1188.000          0.000          0.000          0.000
       1254.000          0.000          0.000          0.000
       1487.000          0.000          0.000          0.000
       1550.000          0.000          0.000          0.000
       1772.000          0.000          0.000          0.000
       2067.000          0.000          0.000          0.000
       2480.000          0.000          0.000          0.000
       3100.000          0.000          0.000          0.000
       3543.000          0.000          0.000          0.000
       4134.000          0.000          0.000          0.000
       4960.000          0.000          0.000          0.000
       6200.000          0.000          0.000          0.000
       7086.000          0.000          0.000          0.000
       8267.000          0.000          0.000          0.000
       8552.000          0.000          0.000          0.000
       9186.000          0.000          0.000          0.000
       9920.000          0.000          0.000          0.000
