      freq (eV)         Mostep         Lor-Dr      Bren-Borm
          1.260          0.111          0.284          1.635
          1.260          0.387          0.356          0.005
          1.260          0.004          0.119          0.075
          1.260          0.269          0.519          0.025
          1.260          0.010          0.032          0.000
          1.260          0.017          0.000          0.000
          1.270          0.112          0.276          1.591
          1.270          0.391          0.342          0.006
          1.270          0.005          0.120          0.077
          1.270          0.271          0.524          0.025
          1.270          0.010          0.033          0.000
          1.270          0.017          0.000          0.000
          1.280          0.114          0.269          1.548
          1.280          0.395          0.328          0.006
          1.280          0.005          0.122          0.079
          1.280          0.274          0.530          0.026
          1.280          0.010          0.033          0.000
          1.280          0.017          0.000          0.000
          1.290          0.116          0.262          1.506
          1.290          0.399          0.316          0.006
          1.290          0.005          0.124          0.081
          1.290          0.276          0.535          0.026
          1.290          0.011          0.033          0.000
          1.290          0.017          0.000          0.000
          1.300          0.117          0.255          1.466
          1.300          0.404          0.304          0.006
          1.300          0.005          0.126          0.083
          1.300          0.278          0.541          0.027
          1.300          0.011          0.033          0.000
          1.300          0.017          0.000          0.000
          1.310          0.119          0.249          1.426
          1.310          0.408          0.293          0.006
          1.310          0.005          0.128          0.085
          1.310          0.280          0.546          0.027
          1.310          0.011          0.034          0.000
          1.310          0.017          0.000          0.000
          1.320          0.121          0.243          1.387
          1.320          0.412          0.282          0.006
          1.320          0.005          0.130          0.088
          1.320          0.283          0.552          0.028
          1.320          0.011          0.034          0.000
          1.320          0.017          0.000          0.000
          1.330          0.122          0.237          1.349
          1.330          0.417          0.272          0.006
          1.330          0.005          0.131          0.090
          1.330          0.285          0.557          0.028
          1.330          0.011          0.034          0.000
          1.330          0.017          0.000          0.000
          1.340          0.124          0.231          1.312
          1.340          0.421          0.262          0.007
          1.340          0.005          0.133          0.092
          1.340          0.287          0.563          0.029
          1.340          0.011          0.034          0.000
          1.340          0.018          0.000          0.000
          1.350          0.126          0.225          1.276
          1.350          0.425          0.253          0.007
          1.350          0.005          0.135          0.095
          1.350          0.290          0.568          0.029
          1.350          0.011          0.035          0.000
          1.350          0.018          0.000          0.000
          1.360          0.128          0.220          1.241
          1.360          0.430          0.244          0.007
          1.360          0.005          0.137          0.097
          1.360          0.292          0.574          0.030
          1.360          0.011          0.035          0.000
          1.360          0.018          0.000          0.000
          1.370          0.130          0.214          1.207
          1.370          0.434          0.236          0.007
          1.370          0.005          0.139          0.100
          1.370          0.294          0.580          0.030
          1.370          0.011          0.035          0.000
          1.370          0.018          0.000          0.000
          1.380          0.132          0.209          1.173
          1.380          0.439          0.228          0.007
          1.380          0.005          0.141          0.102
          1.380          0.296          0.586          0.031
          1.380          0.011          0.035          0.000
          1.380          0.018          0.000          0.000
          1.390          0.133          0.204          1.141
          1.390          0.443          0.220          0.007
          1.390          0.005          0.143          0.105
          1.390          0.299          0.591          0.031
          1.390          0.011          0.036          0.000
          1.390          0.018          0.000          0.000
          1.400          0.135          0.199          1.109
          1.400          0.448          0.213          0.008
          1.400          0.005          0.145          0.108
          1.400          0.301          0.597          0.032
          1.400          0.011          0.036          0.000
          1.400          0.018          0.000          0.000
          1.410          0.137          0.195          1.078
          1.410          0.453          0.206          0.008
          1.410          0.005          0.148          0.111
          1.410          0.303          0.603          0.032
          1.410          0.012          0.036          0.000
          1.410          0.019          0.000          0.000
          1.420          0.139          0.190          1.048
          1.420          0.457          0.200          0.008
          1.420          0.005          0.150          0.113
          1.420          0.306          0.609          0.033
          1.420          0.012          0.037          0.000
