      freq (eV)         Mostep         Lor-Dr      Bren-Borm
          0.174          0.093          0.659          1.795
          0.174          2.141          2.648          1.812
          0.174          0.244          2.015          0.174
          0.174          0.670          0.000          0.000
          0.176          0.765         12.709          0.686
          0.176          2.411          1.229          0.515
          0.176          0.093          0.659          1.795
          0.176          2.141          2.648          1.812
          0.176          0.244          2.015          0.174
          0.176          0.670          0.000          0.000
          0.178          0.765         12.736          0.540
          0.178          2.411          1.230          0.515
          0.178          0.093          0.659          1.795
          0.178          2.141          2.648          1.812
          0.178          0.244          2.015          0.174
          0.178          0.670          0.000          0.000
          0.180          0.765         12.764          0.399
          0.180          2.411          1.231          0.515
          0.180          0.093          0.659          1.795
          0.180          2.141          2.649          1.812
          0.180          0.244          2.015          0.174
          0.180          0.670          0.000          0.000
          0.182          0.765         12.792          0.261
          0.182          2.411          1.232          0.515
          0.182          0.093          0.659          1.795
          0.182          2.141          2.649          1.812
          0.182          0.244          2.015          0.174
          0.182          0.670          0.000          0.000
          0.184          0.765         12.820          0.128
          0.184          2.411          1.233          0.515
          0.184          0.093          0.659          1.795
          0.184          2.141          2.649          1.812
          0.184          0.244          2.015          0.174
          0.184          0.670          0.000          0.000
          0.186          0.765         12.850         -0.009
          0.186          2.411          1.234          0.515
          0.186          0.093          0.659          1.795
          0.186          2.142          2.649          1.812
          0.186          0.244          2.015          0.174
          0.186          0.670          0.000          0.000
          0.188          0.765         12.878         -0.135
          0.188          2.411          1.235          0.516
          0.188          0.093          0.659          1.795
          0.188          2.142          2.649          1.812
          0.188          0.244          2.015          0.174
          0.188          0.670          0.000          0.000
          0.189          0.765         12.906         -0.257
          0.189          2.411          1.236          0.516
          0.189          0.093          0.659          1.795
          0.189          2.142          2.649          1.812
          0.189          0.244          2.015          0.174
          0.189          0.670          0.000          0.000
          0.191          0.765         12.934         -0.376
          0.191          2.411          1.237          0.516
          0.191          0.093          0.659          1.796
          0.191          2.142          2.649          1.812
          0.191          0.244          2.015          0.174
          0.191          0.670          0.000          0.000
          0.193          0.765         12.963         -0.492
          0.193          2.412          1.238          0.516
          0.193          0.093          0.659          1.796
          0.193          2.142          2.649          1.812
          0.193          0.244          2.015          0.174
          0.193          0.670          0.000          0.000
          0.195          0.765         12.991         -0.605
          0.195          2.412          1.240          0.516
          0.195          0.093          0.659          1.796
          0.195          2.142          2.649          1.812
