      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm    Marachevsky          Drude
          0.562       -193.208       -248.708       -196.576       -184.023       -254.626
          0.564       -191.882       -246.986       -195.261       -182.775       -252.910
          0.566       -190.567       -245.281       -193.960       -181.539       -251.212
          0.570       -187.907       -241.835       -191.329       -179.040       -247.779
          0.572       -186.629       -240.182       -190.066       -177.841       -246.132
          0.576       -184.109       -236.924       -187.578       -175.478       -242.887
          0.578       -182.866       -235.319       -186.351       -174.314       -241.288
          0.580       -181.635       -233.730       -185.137       -173.161       -239.705
          0.584       -179.142       -230.517       -182.680       -170.829       -236.503
          0.585       -177.945       -228.974       -181.501       -169.709       -234.966
          0.589       -175.583       -225.934       -179.176       -167.502       -231.938
          0.591       -174.418       -224.436       -178.030       -166.415       -230.445
          0.595       -172.120       -221.483       -175.770       -164.270       -227.502
          0.597       -170.927       -219.952       -174.598       -163.157       -225.976
          0.601       -168.692       -217.083       -172.402       -161.073       -223.118
          0.603       -167.590       -215.670       -171.320       -160.046       -221.709
          0.606       -165.415       -212.882       -169.184       -158.020       -218.931
          0.608       -164.342       -211.507       -168.131       -157.021       -217.562
          0.612       -162.225       -208.797       -166.054       -155.050       -214.860
          0.614       -161.126       -207.390       -164.976       -154.027       -213.459
          0.618       -159.067       -204.756       -162.956       -152.111       -210.833
          0.620       -157.998       -203.388       -161.908       -151.116       -209.471
          0.623       -156.361       -201.295       -160.302       -149.593       -207.384
          0.626       -154.696       -199.167       -158.669       -148.044       -205.263
          0.629       -153.055       -197.071       -157.060       -146.519       -203.174
          0.633       -151.439       -195.007       -155.476       -145.016       -201.117
          0.636       -149.847       -192.973       -153.915       -143.536       -199.090
          0.639       -148.230       -190.909       -152.329       -142.032       -197.032
          0.642       -146.638       -188.875       -150.767       -140.551       -195.005
          0.646       -145.070       -186.873       -149.228       -139.093       -193.010
          0.649       -143.480       -184.843       -147.667       -137.613       -190.986
          0.652       -141.914       -182.843       -146.130       -136.156       -188.993
          0.656       -140.328       -180.818       -144.572       -134.679       -186.973
          0.659       -138.767       -178.824       -143.038       -133.226       -184.986
          0.663       -137.232       -176.862       -141.528       -131.795       -183.030
          0.667       -135.678       -174.876       -139.999       -130.347       -181.050
          0.670       -134.149       -172.922       -138.494       -128.921       -179.102
          0.674       -132.646       -170.999       -137.013       -127.518       -177.186
          0.677       -131.127       -169.055       -135.515       -126.099       -175.247
          0.681       -129.633       -167.142       -134.040       -124.703       -173.340
          0.685       -128.126       -165.209       -132.550       -123.292       -171.413
          0.689       -126.644       -163.309       -131.085       -121.905       -169.519
          0.693       -125.188       -161.439       -129.642       -120.539       -167.655
          0.697       -123.720       -159.553       -128.186       -119.161       -165.774
          0.701       -122.241       -157.650       -126.717       -117.771       -163.877
          0.705       -120.790       -155.780       -125.273       -116.404       -162.012
          0.709       -119.364       -153.941       -123.852       -115.060       -160.179
          0.713       -117.931       -152.088       -122.421       -113.706       -158.331
          0.717       -116.524       -150.267       -121.013       -112.375       -156.516
          0.721       -115.143       -148.477       -119.628       -111.065       -154.731
          0.725       -113.723       -146.632       -118.201       -109.716       -152.891
          0.729       -112.363       -144.861       -116.831       -108.421       -151.126
          0.734       -110.997       -143.080       -115.452       -107.117       -149.349
          0.738       -109.628       -141.289       -114.065       -105.806       -147.564
          0.742       -108.286       -139.530       -112.702       -104.519       -145.810
          0.747       -106.942       -137.763       -111.333       -103.225       -144.048
          0.751       -105.625       -136.028       -109.987       -101.954       -142.318
          0.756       -104.307       -134.286       -108.636       -100.678       -140.581
          0.761       -103.016       -132.575       -107.308        -99.425       -138.875
          0.765       -101.725       -130.859       -105.976        -98.167       -137.164
          0.770       -100.435       -129.139       -104.640        -96.906       -135.449
          0.775        -99.173       -127.450       -103.328        -95.668       -133.765
          0.780        -97.912       -125.759       -102.013        -94.428       -132.078
          0.785        -96.678       -124.099       -100.723        -93.210       -130.423
          0.790        -95.446       -122.437        -99.429        -91.991       -128.766
          0.795        -94.217       -120.773        -98.135        -90.770       -127.107
          0.800        -93.014       -119.142        -96.864        -89.572       -125.480
          0.805        -91.813       -117.510        -95.593        -88.374       -123.853
          0.810        -90.616       -115.879        -94.322        -87.177       -122.227
          0.816        -89.443       -114.279        -93.074        -86.002       -120.632
          0.821        -88.273       -112.681        -91.828        -84.828       -119.039
          0.827        -87.105       -111.086        -90.582        -83.655       -117.448
          0.832        -85.961       -109.522        -89.361        -82.506       -115.889
          0.838        -84.819       -107.961        -88.141        -81.358       -114.332
          0.843        -83.679       -106.404        -86.924        -80.213       -112.780
          0.849        -82.540       -104.852        -85.709        -79.071       -111.232
          0.855        -81.404       -103.305        -84.499        -77.932       -109.690
          0.861        -80.289       -101.790        -83.312        -76.817       -108.180
          0.867        -79.175       -100.280        -82.129        -75.706       -106.675
          0.918        -70.363        -88.536        -72.900        -67.047        -94.968
          0.925        -69.269        -87.106        -71.773        -65.991        -93.543
          0.932        -68.195        -85.708        -70.670        -64.958        -92.149
          0.939        -67.110        -84.301        -69.560        -63.918        -90.747
          0.946        -66.045        -82.926        -68.474        -62.902        -89.377
          0.954        -64.971        -81.543        -67.381        -61.880        -87.999
          0.961        -63.903        -80.174        -66.298        -60.866        -86.635
          0.969        -62.841        -78.818        -65.224        -59.863        -85.284
          0.976        -61.773        -77.458        -64.146        -58.856        -83.929
          0.984        -60.726        -76.130        -63.093        -57.872        -82.606
          0.992        -59.675        -74.799        -62.036        -56.886        -81.280
          1.000        -58.633        -73.483        -60.991        -55.910        -79.970
          1.008        -57.600        -72.183        -59.957        -54.945        -78.674
          1.016        -56.602        -70.929        -58.959        -54.015        -77.425
          1.025        -55.504        -69.553        -57.862        -52.993        -76.055
          1.033        -54.551        -68.359        -56.911        -52.106        -74.866
          1.042        -53.503        -67.049        -55.865        -51.132        -73.562
          1.051        -52.480        -65.773        -54.845        -50.183        -72.291
          1.060        -51.481        -64.529        -53.850        -49.257        -71.053
          1.069        -50.506        -63.315        -52.878        -48.353        -69.845
          1.078        -49.555        -62.132        -51.930        -47.472        -68.668
          1.088        -48.524        -60.852        -50.902        -46.517        -67.394
          1.097        -47.620        -59.729        -50.000        -45.679        -66.277
          1.107        -46.640        -58.514        -49.022        -44.771        -65.067
          1.117        -45.685        -57.330        -48.069        -43.887        -63.890
          1.127        -44.755        -56.178        -47.140        -43.025        -62.744
          1.137        -43.849        -55.056        -46.234        -42.185        -61.628
          1.148        -42.879        -53.855        -45.263        -41.285        -60.434
          1.159        -41.936        -52.688        -44.319        -40.410        -59.274
          1.170        -41.020        -51.553        -43.399        -39.558        -58.147
          1.181        -40.128        -50.450        -42.503        -38.730        -57.050
          1.192        -39.260        -49.377        -41.631        -37.922        -55.984
          1.204        -38.341        -48.239        -40.705        -37.066        -54.855
          1.216        -37.448        -47.135        -39.805        -36.234        -53.758
          1.228        -36.581        -46.062        -38.929        -35.424        -52.694
          1.240        -35.739        -45.021        -38.077        -34.637        -51.660
          1.252        -34.921        -44.008        -37.248        -33.871        -50.656
          1.265        -34.061        -42.944        -36.374        -33.065        -49.600
          1.278        -33.226        -41.911        -35.526        -32.281        -48.576
          1.291        -32.417        -40.909        -34.701        -31.520        -47.583
          1.305        -31.571        -39.863        -33.838        -30.724        -46.546
          1.319        -30.753        -38.850        -33.001        -29.952        -45.543
          1.333        -29.960        -37.868        -32.187        -29.202        -44.571
          1.348        -29.137        -36.849        -31.342        -28.422        -43.562
          1.362        -28.393        -35.928        -30.576        -27.716        -42.651
          1.378        -27.571        -34.909        -29.728        -26.934        -41.644
          1.393        -26.825        -33.984        -28.956        -26.222        -40.731
          1.409        -26.055        -33.030        -28.158        -25.486        -39.788
          1.425        -25.311        -32.108        -27.384        -24.773        -38.878
          1.442        -24.547        -31.160        -26.588        -24.038        -37.943
          1.459        -23.809        -30.245        -25.817        -23.327        -37.041
          1.476        -23.096        -29.361        -25.070        -22.638        -36.170
          1.494        -22.367        -28.456        -24.304        -21.931        -35.280
          1.512        -21.663        -27.583        -23.562        -21.246        -34.422
          1.531        -20.947        -26.694        -22.805        -20.547        -33.548
          1.550        -20.256        -25.836        -22.073        -19.870        -32.707
          1.569        -19.590        -25.009        -21.364        -19.215        -31.896
          1.590        -18.881        -24.127        -20.607        -18.514        -31.033
          1.610        -18.230        -23.319        -19.909        -17.869        -30.242
          1.631        -17.572        -22.500        -19.202        -17.213        -29.443
          1.653        -16.909        -21.675        -18.485        -16.549        -28.638
