energy, eV	Re eps	Im eps
8.377E-01	-1.089E+02	7.078E+00
8.434E-01	-1.074E+02	6.958E+00
8.492E-01	-1.060E+02	6.837E+00
8.551E-01	-1.045E+02	6.719E+00
8.610E-01	-1.029E+02	6.595E+00
8.670E-01	-1.015E+02	6.479E+00
9.184E-01	-8.984E+01	5.519E+00
9.253E-01	-8.847E+01	5.416E+00
9.322E-01	-8.708E+01	5.312E+00
9.393E-01	-8.571E+01	5.211E+00
9.464E-01	-8.436E+01	5.111E+00
9.537E-01	-8.297E+01	5.001E+00
9.611E-01	-8.159E+01	4.894E+00
9.686E-01	-8.023E+01	4.789E+00
9.763E-01	-7.887E+01	4.684E+00
9.840E-01	-7.753E+01	4.581E+00
9.919E-01	-7.620E+01	4.480E+00
9.999E-01	-7.488E+01	4.380E+00
1.008E+00	-7.357E+01	4.282E+00
1.016E+00	-7.226E+01	4.186E+00
1.025E+00	-7.097E+01	4.089E+00
1.033E+00	-6.968E+01	3.995E+00
1.042E+00	-6.840E+01	3.904E+00
1.051E+00	-6.715E+01	3.812E+00
1.060E+00	-6.590E+01	3.723E+00
1.069E+00	-6.464E+01	3.635E+00
1.078E+00	-6.341E+01	3.548E+00
1.088E+00	-6.219E+01	3.463E+00
1.097E+00	-6.096E+01	3.379E+00
1.107E+00	-5.977E+01	3.298E+00
1.117E+00	-5.857E+01	3.217E+00
1.127E+00	-5.738E+01	3.137E+00
1.137E+00	-5.621E+01	3.060E+00
1.148E+00	-5.505E+01	2.984E+00
1.159E+00	-5.390E+01	2.908E+00
1.170E+00	-5.274E+01	2.835E+00
1.181E+00	-5.160E+01	2.764E+00
1.192E+00	-5.049E+01	2.693E+00
1.204E+00	-4.937E+01	2.623E+00
1.216E+00	-4.825E+01	2.556E+00
1.228E+00	-4.716E+01	2.490E+00
1.240E+00	-4.607E+01	2.425E+00
1.252E+00	-4.501E+01	2.362E+00
1.265E+00	-4.393E+01	2.299E+00
1.278E+00	-4.287E+01	2.240E+00
1.291E+00	-4.183E+01	2.182E+00
1.305E+00	-4.079E+01	2.124E+00
1.319E+00	-3.976E+01	2.068E+00
1.333E+00	-3.875E+01	2.014E+00
1.348E+00	-3.774E+01	1.961E+00
1.362E+00	-3.674E+01	1.910E+00
1.378E+00	-3.575E+01	1.860E+00
1.393E+00	-3.476E+01	1.812E+00
1.409E+00	-3.379E+01	1.765E+00
1.425E+00	-3.283E+01	1.721E+00
1.442E+00	-3.189E+01	1.679E+00
1.459E+00	-3.095E+01	1.637E+00
1.476E+00	-3.001E+01	1.597E+00
1.494E+00	-2.909E+01	1.559E+00
1.512E+00	-2.818E+01	1.524E+00
1.531E+00	-2.727E+01	1.490E+00
1.550E+00	-2.637E+01	1.458E+00
1.569E+00	-2.548E+01	1.428E+00
1.590E+00	-2.461E+01	1.400E+00
1.610E+00	-2.375E+01	1.375E+00
1.631E+00	-2.289E+01	1.351E+00
1.653E+00	-2.203E+01	1.330E+00
1.675E+00	-2.119E+01	1.312E+00
1.698E+00	-2.036E+01	1.296E+00
1.722E+00	-1.953E+01	1.282E+00
1.746E+00	-1.871E+01	1.272E+00
1.771E+00	-1.790E+01	1.265E+00
1.797E+00	-1.710E+01	1.261E+00
1.823E+00	-1.631E+01	1.262E+00
1.851E+00	-1.552E+01	1.265E+00
1.879E+00	-1.475E+01	1.273E+00
1.907E+00	-1.397E+01	1.285E+00
1.937E+00	-1.321E+01	1.302E+00
1.968E+00	-1.245E+01	1.325E+00
2.000E+00	-1.170E+01	1.352E+00
2.033E+00	-1.095E+01	1.386E+00
2.066E+00	-1.021E+01	1.427E+00
2.101E+00	-9.472E+00	1.477E+00
2.138E+00	-8.730E+00	1.535E+00
2.175E+00	-7.992E+00	1.603E+00
2.214E+00	-7.247E+00	1.686E+00
2.254E+00	-6.500E+00	1.789E+00
2.296E+00	-5.734E+00	1.919E+00
2.339E+00	-4.959E+00	2.092E+00
