      freq (eV)    K-K (Drude)          Drude    Marachevsky     Gen_plasma      Bren_Borm         Lor-Dr
          2.175         24.871         17.936         18.079         22.783         16.457         19.664
          2.214         24.186         17.347         17.614         22.155         15.986         19.136
          2.254         23.518         16.775         17.161         21.543         15.527         18.621
          2.296         22.853         16.206         16.709         20.933         15.071         18.105
          2.339         22.206         15.655         16.269         20.340         14.627         17.604
          2.384         21.565         15.110         15.833         19.753         14.188         17.105
          2.431         20.931         14.572         15.401         19.172         13.754         16.611
          2.480         20.306         14.044         14.975         18.599         13.326         16.122
          2.530         19.703         13.536         14.564         18.047         12.914         15.650
          2.583         19.100         13.029         14.152         17.494         12.502         15.176
          2.638         18.510         12.535         13.749         16.954         12.099         14.711
          2.695         17.933         12.054         13.354         16.426         11.706         14.256
          2.755         17.362         11.580         12.963         15.903         11.318         13.804
          2.818         16.799         11.114         12.577         15.387         10.935         13.357
          2.883         16.254         10.665         12.203         14.887         10.565         12.923
          2.952         15.711         10.220         11.830         14.390         10.196         12.490
          3.024         15.181          9.788         11.465         13.904          9.837         12.066
          3.100         14.657          9.364         11.104         13.425          9.484         11.646
          3.179         14.150          8.955         10.754         12.960          9.141         11.237
          3.263         13.647          8.552         10.406         12.499          8.802         10.831
          3.351         13.156          8.162         10.067         12.049          8.473         10.434
          3.444         12.675          7.782          9.733         11.608          8.149         10.043
          3.542         12.204          7.413          9.406         11.176          7.834          9.660
          3.647         11.737          7.050          9.081         10.747          7.522          9.279
          3.757         11.285          6.702          8.766         10.333          7.221          8.909
          3.874         10.842          6.364          8.456          9.925          6.926          8.545
          3.999         10.406          6.035          8.151          9.525          6.637          8.187
          4.133          9.977          5.715          7.850          9.131          6.354          7.833
          4.201          9.773          5.564          7.707          8.943          6.219          7.665
          4.301          9.489          5.354          7.506          8.681          6.032          7.429
          4.400          9.223          5.161          7.319          8.437          5.857          7.210
          4.501          8.968          4.977          7.139          8.202          5.690          6.998
          4.601          8.730          4.806          6.970          7.983          5.534          6.800
