      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm    Marachevsky          Drude
          1.459          2.235          0.975          2.116          2.078          0.626
          1.476          2.198          0.991          2.044          2.003          0.604
          1.494          2.162          1.009          1.972          1.927          0.583
          1.512          2.130          1.026          1.904          1.855          0.562
          1.531          2.098          1.046          1.836          1.782          0.542
          1.550          2.070          1.065          1.773          1.713          0.522
          1.569          2.044          1.085          1.714          1.648          0.503
          1.590          2.019          1.107          1.654          1.579          0.484
          1.610          1.997          1.129          1.600          1.519          0.466
          1.631          1.978          1.152          1.549          1.459          0.448
          1.653          1.960          1.177          1.499          1.400          0.430
          1.675          1.945          1.202          1.455          1.347          0.414
          1.698          1.932          1.230          1.413          1.295          0.397
          1.722          1.922          1.259          1.374          1.247          0.381
          1.746          1.915          1.288          1.341          1.203          0.365
          1.771          1.910          1.320          1.312          1.164          0.350
          1.797          1.909          1.354          1.288          1.128          0.335
          1.823          1.910          1.390          1.269          1.099          0.321
          1.851          1.915          1.429          1.256          1.074          0.306
          1.879          1.923          1.469          1.250          1.056          0.293
          1.907          1.934          1.511          1.251          1.045          0.280
          1.937          1.950          1.558          1.261          1.040          0.267
          1.968          1.971          1.608          1.280          1.044          0.255
          2.000          1.996          1.662          1.310          1.057          0.243
          2.033          2.026          1.720          1.352          1.080          0.231
          2.066          2.062          1.782          1.407          1.112          0.220
          2.101          2.104          1.850          1.479          1.156          0.210
          2.138          2.155          1.927          1.570          1.213          0.199
          2.175          2.212          2.008          1.679          1.283          0.189
          2.214          2.280          2.100          1.813          1.367          0.179
          2.254          2.357          2.201          1.970          1.466          0.170
          2.296          2.449          2.315          2.158          1.583          0.161
          2.339          2.553          2.442          2.372          1.714          0.152
          2.384          2.675          2.588          2.617          1.864          0.143
          2.431          2.818          2.756          2.895          2.033          0.135
          2.480          2.984          2.951          3.201          2.219          0.127
          2.530          3.172          3.173          3.523          2.418          0.120
          2.583          3.393          3.439          3.867          2.637          0.113
          2.638          3.642          3.751          4.214          2.868          0.106
          2.695          3.916          4.116          4.550          3.109          0.099
          2.755          4.206          4.546          4.864          3.360          0.093
          2.818          4.490          5.032          5.138          3.616          0.087
          2.883          4.728          5.537          5.353          3.867          0.081
